UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,timestamp,ambient_temp_C,load_density_pct,ambient_temp_K,temp_differential_K,load_adjusted_torque,wear_per_load,Type_enc
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,1/1/2024 0:00,18.91347748,38.36248011,292.0634775,6.036522515,108.732986,0,2
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,1/1/2024 0:10,18.91347748,38.36248011,292.0634775,6.136522515,117.6247022,1.150874403,1
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,1/1/2024 0:20,18.91347748,38.36248011,292.0634775,6.036522515,125.5002222,1.918124005,1
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,1/1/2024 0:30,18.91347748,38.36248011,292.0634775,6.136522515,100.349368,2.685373607,1
5,L47184,L,298.2,308.7,1408,40,9,0,0,0,0,0,0,1/1/2024 0:40,17.61090161,37.18693427,290.7609016,7.439098391,104.7478693,3.346824085,1
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,1/1/2024 0:50,17.61090161,37.18693427,290.7609016,7.339098391,109.7233931,4.09056277,2
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,1/1/2024 1:00,17.61090161,37.18693427,290.7609016,7.339098391,111.0327415,5.206170798,1
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,1/1/2024 1:10,17.61090161,37.18693427,290.7609016,7.339098391,105.2716086,5.949909484,1
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,1/1/2024 1:20,17.61090161,37.18693427,290.7609016,7.539098391,74.89472655,6.693648169,2
10,M14869,M,298.5,309,1741,28,21,0,0,0,0,0,0,1/1/2024 1:30,17.61090161,37.18693427,290.7609016,7.739098391,73.32350851,7.809256197,2
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,1/1/2024 1:40,17.74016177,34.0442716,290.8901618,7.509838232,68.1994486,8.170625185,0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,1/1/2024 1:50,17.74016177,34.0442716,290.8901618,7.709838232,126.4115303,9.872838765,0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,1/1/2024 2:00,17.74016177,34.0442716,290.8901618,7.709838232,145.8155575,11.57505235,2
14,M14873,M,298.6,309.2,1742,30,37,0,0,0,0,0,0,1/1/2024 2:10,17.74016177,34.0442716,290.8901618,7.709838232,85.60600243,12.59638049,2
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,1/1/2024 2:20,17.74016177,34.0442716,290.8901618,7.709838232,55.92925492,13.61770864,1
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,1/1/2024 2:30,17.74016177,34.0442716,290.8901618,7.709838232,138.1110173,14.29859407,1
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,1/1/2024 2:40,18.27006395,33.53270235,291.420064,7.179936046,134.9445506,14.75438904,2
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,1/1/2024 2:50,18.27006395,33.53270235,291.420064,7.279936046,132.0487448,15.76037011,2
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,1/1/2024 3:00,18.27006395,33.53270235,291.420064,7.379936046,157.8214165,16.76635118,0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,1/1/2024 3:10,18.27006395,33.53270235,291.420064,7.479936046,94.11368872,18.44298629,2
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,1/1/2024 3:20,18.27006395,33.53270235,291.420064,7.479936046,123.650908,19.44896736,0
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,1/1/2024 3:30,18.27006395,33.53270235,291.420064,7.379936046,129.7321001,21.12560248,1
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,1/1/2024 3:40,17.03468824,33.4329674,290.1846882,8.715311763,89.15874034,21.73142881,2
24,L47203,L,299,309.4,1758,25.7,68,0,0,0,0,0,0,1/1/2024 3:50,17.03468824,33.4329674,290.1846882,8.815311763,74.63777286,22.73441783,1
25,M14884,M,299,309.4,1561,37.3,70,0,0,0,0,0,0,1/1/2024 4:00,17.03468824,33.4329674,290.1846882,8.815311763,108.3264174,23.40307718,2
26,L47205,L,299,309.5,1861,23.3,73,0,0,0,0,0,0,1/1/2024 4:10,17.03468824,33.4329674,290.1846882,8.815311763,67.66770847,24.4060662,1
27,L47206,L,299.1,309.5,1512,39,75,0,0,0,0,0,0,1/1/2024 4:20,17.03468824,33.4329674,290.1846882,8.915311763,113.2635464,25.07472555,1
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,1/1/2024 4:30,17.03468824,33.4329674,290.1846882,8.915311763,71.44316001,25.7433849,0
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,1/1/2024 4:40,17.53420348,31.31035926,290.6842035,8.415796516,136.7982313,25.67449459,1
30,L47209,L,299,309.4,1693,30.1,84,0,0,0,0,0,0,1/1/2024 4:50,17.53420348,31.31035926,290.6842035,8.315796516,93.15897652,26.30070178,1
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,1/1/2024 5:00,17.53420348,31.31035926,290.6842035,8.415796516,149.1781617,26.92690897,2
32,L47211,L,299,309.4,1798,25.5,89,0,0,0,0,0,0,1/1/2024 5:10,17.53420348,31.31035926,290.6842035,8.315796516,78.92205652,27.86621974,1
33,L47212,L,299,309.4,1419,48.3,91,0,0,0,0,0,0,1/1/2024 5:20,17.53420348,31.31035926,290.6842035,8.315796516,149.48766,28.49242693,1
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,1/1/2024 5:30,17.53420348,31.31035926,290.6842035,8.215796516,100.5869348,29.11863411,1
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,1/1/2024 5:40,19.77947641,41.46150276,292.9294764,5.870523585,81.72108321,39.38842762,2
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,1/1/2024 5:50,19.77947641,41.46150276,292.9294764,5.870523585,114.456618,40.6322727,2
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,1/1/2024 6:00,19.77947641,41.46150276,292.9294764,5.970523585,86.4312321,41.87611779,2
