timestamp,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,shift,production_load,power_quality_index,maintenance_window,operator_experience
2025-01-01 00:00:00,1,M14860,M,298.1,308.6,1551,42.8,0,0,No Failure,Night,0.749816047538945,-0.637861703490623,0,4
2025-01-01 01:00:00,2,L47181,L,298.2,308.7,1408,46.3,3,0,No Failure,Night,0.9802857225639665,-0.27518610173116176,0,5
2025-01-01 02:00:00,3,L47182,L,298.1,308.5,1498,49.4,5,0,No Failure,Night,0.892797576724562,1.2388189102637133,0,3
2025-01-01 03:00:00,4,L47183,L,298.2,308.6,1433,39.5,7,0,No Failure,Night,0.8394633936788146,-0.32387332630602883,0,5
2025-01-01 04:00:00,5,L47184,L,298.2,308.7,1408,40.0,9,0,No Failure,Night,0.6624074561769746,1.9626343052033017,0,5
2025-01-01 05:00:00,6,M14865,M,298.1,308.6,1425,41.9,11,0,No Failure,Night,0.662397808134481,0.778879709169664,0,2
2025-01-01 06:00:00,7,L47186,L,298.1,308.6,1558,42.4,14,0,No Failure,Night,0.6232334448672797,0.9355947039445254,0,3
2025-01-01 07:00:00,8,L47187,L,298.1,308.6,1527,40.2,16,0,No Failure,Night,0.9464704583099741,0.571627032392106,0,3
2025-01-01 08:00:00,9,M14868,M,298.3,308.7,1667,28.6,18,0,No Failure,Morning,0.8404460046972835,1.622847838543723,0,3
2025-01-01 09:00:00,10,M14869,M,298.5,309.0,1741,28.0,21,0,No Failure,Morning,0.8832290311184181,1.6331598877770106,0,5
2025-01-01 10:00:00,11,H29424,H,298.4,308.9,1782,23.9,24,0,No Failure,Morning,0.608233797718321,1.1850543519121715,0,4
2025-01-01 11:00:00,12,H29425,H,298.6,309.1,1423,44.3,29,0,No Failure,Morning,0.9879639408647978,1.414789105907648,0,3
2025-01-01 12:00:00,13,M14872,M,298.6,309.1,1339,51.1,34,0,No Failure,Morning,0.9329770563201687,0.6379103300795743,0,5
2025-01-01 13:00:00,14,M14873,M,298.6,309.2,1742,30.0,37,0,No Failure,Morning,0.6849356442713105,1.3922030069090485,0,2
2025-01-01 14:00:00,15,L47194,L,298.6,309.2,2035,19.6,40,0,No Failure,Morning,0.6727299868828402,0.5121222245261932,0,4
2025-01-01 15:00:00,16,L47195,L,298.6,309.2,1542,48.4,42,0,No Failure,Morning,0.6733618039413735,0.852231622162402,0,2
2025-01-01 16:00:00,17,M14876,M,298.6,309.2,1311,46.6,44,0,No Failure,Evening,0.7216968971838151,0.5753562506337025,0,4
2025-01-01 17:00:00,18,M14877,M,298.7,309.2,1410,45.6,47,0,No Failure,Evening,0.8099025726528951,0.39278146068080405,0,5
2025-01-01 18:00:00,19,H29432,H,298.8,309.2,1306,54.5,50,0,No Failure,Evening,0.7727780074568463,0.16088820227820977,0,1
2025-01-01 19:00:00,20,M14879,M,298.9,309.3,1632,32.5,55,0,No Failure,Evening,0.7164916560792167,1.3176901038588855,0,4
2025-01-01 20:00:00,21,H29434,H,298.9,309.3,1375,42.7,58,0,No Failure,Evening,0.8447411578889518,2.1606059128134634,0,2
2025-01-01 21:00:00,22,L47201,L,298.8,309.3,1450,44.8,63,0,No Failure,Evening,0.6557975442608167,2.0211019716695593,0,5
2025-01-01 22:00:00,23,M14882,M,298.9,309.3,1581,30.7,65,0,No Failure,Evening,0.7168578594140873,-0.4065653359454354,0,4
2025-01-01 23:00:00,24,L47203,L,299.0,309.4,1758,25.7,68,0,No Failure,Evening,0.7465447373174767,2.139203051406873,0,1
2025-01-02 00:00:00,25,M14884,M,299.0,309.4,1561,37.3,70,0,No Failure,Night,0.7824279936868144,0.5318414983820712,0,1
2025-01-02 01:00:00,26,L47205,L,299.0,309.5,1861,23.3,73,0,No Failure,Night,0.9140703845572055,1.4507330151455915,0,3
2025-01-02 02:00:00,27,L47206,L,299.1,309.5,1512,39.0,75,0,No Failure,Night,0.6798695128633439,-0.056215332047211075,0,3
2025-01-02 03:00:00,28,H29441,H,299.1,309.4,1811,24.6,77,0,No Failure,Night,0.8056937753654446,0.9919799138740053,0,2
2025-01-02 04:00:00,29,L47208,L,299.1,309.4,1439,44.2,82,0,No Failure,Night,0.836965827544817,1.163723182896907,0,4
2025-01-02 05:00:00,30,L47209,L,299.0,309.4,1693,30.1,84,0,No Failure,Night,0.6185801650879991,-0.6346047919196528,0,4
2025-01-02 06:00:00,31,M14890,M,299.1,309.5,1339,48.2,86,0,No Failure,Night,0.8430179407605753,1.4582671663441893,0,3
2025-01-02 07:00:00,32,L47211,L,299.0,309.4,1798,25.5,89,0,No Failure,Night,0.6682096494749166,2.1959350078383153,0,4
2025-01-02 08:00:00,33,L47212,L,299.0,309.4,1419,48.3,91,0,No Failure,Morning,0.6260206371941118,0.6753520543183721,0,4
2025-01-02 09:00:00,34,L47213,L,298.9,309.3,1665,32.5,93,0,No Failure,Morning,0.9795542149013333,2.210168130828013,0,1
2025-01-02 10:00:00,35,M14894,M,298.8,309.1,1559,34.7,95,0,No Failure,Morning,0.9862528132298237,0.6603065065475925,0,3
2025-01-02 11:00:00,36,M14895,M,298.8,309.2,1452,48.6,98,0,No Failure,Morning,0.9233589392465844,1.699584531046617,0,5
2025-01-02 12:00:00,37,M14896,M,298.9,309.2,1581,36.7,101,0,No Failure,Morning,0.7218455076693483,-1.3685699659510995,0,3
2025-01-02 13:00:00,38,L47217,L,298.8,309.1,1439,39.2,104,0,No Failure,Morning,0.6390688456025535,3.2687777793134636,0,5
2025-01-02 14:00:00,39,H29452,H,298.9,309.2,1379,50.7,106,0,No Failure,Morning,0.8736932106048627,2.345458245242957,0,1
2025-01-02 15:00:00,40,L47219,L,298.8,309.1,1350,52.5,111,0,No Failure,Morning,0.7760609974958406,0.5653744957463211,0,2
2025-01-02 16:00:00,41,L47220,L,298.8,309.1,1362,45.4,113,0,No Failure,Evening,0.6488152939379115,-1.1220890266438182,0,4
2025-01-02 17:00:00,42,L47221,L,298.8,309.1,1368,50.8,115,0,No Failure,Evening,0.798070764044508,1.138028368305489,0,1
2025-01-02 18:00:00,43,M14902,M,298.8,309.1,1368,49.1,117,0,No Failure,Evening,0.6137554084460873,-0.5939255470737569,0,4
2025-01-02 19:00:00,44,H29457,H,298.8,309.2,1372,48.5,120,0,No Failure,Evening,0.9637281608315128,1.294853537557488,1,2
2025-01-02 20:00:00,45,M14904,M,298.8,309.1,1472,47.5,125,0,No Failure,Evening,0.7035119926400067,1.261565719164282,1,2
2025-01-02 21:00:00,46,L47225,L,298.8,309.1,1489,49.1,128,0,No Failure,Evening,0.8650089137415928,-0.09140316900202483,1,1
2025-01-02 22:00:00,47,M14906,M,298.7,309.0,1843,25.8,130,0,No Failure,Evening,0.7246844304357644,1.9709670236143775,1,2
2025-01-02 23:00:00,48,L47227,L,298.8,309.1,1418,46.3,133,0,No Failure,Evening,0.8080272084711243,1.6555747028061734,1,5
2025-01-03 00:00:00,49,H29462,H,298.8,309.2,1425,53.9,135,0,No Failure,Night,0.8186841117373118,1.8258233372885635,1,2
2025-01-03 01:00:00,50,M14909,M,298.9,309.2,1412,44.1,140,0,No Failure,Night,0.6739417822102108,0.8588577036688954,1,4
2025-01-03 02:00:00,51,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure,Night,0.9878338511058234,-0.5655240669137066,1,4
2025-01-03 03:00:00,52,L47231,L,298.9,309.1,1383,54.9,145,0,No Failure,Night,0.9100531293444458,1.8278722722111376,1,4
2025-01-03 04:00:00,53,H29466,H,298.8,309.0,1497,43.8,147,0,No Failure,Night,0.9757995766256756,0.5796286008642089,1,4
2025-01-03 05:00:00,54,L47233,L,298.7,309.0,1565,35.1,152,0,No Failure,Night,0.9579309401710595,-0.5397801431926691,1,5
2025-01-03 06:00:00,55,L47234,L,298.7,309.0,1691,30.1,154,0,No Failure,Night,0.8391599915244341,2.202039365974326,1,3
2025-01-03 07:00:00,56,L47235,L,298.8,309.1,1512,40.7,156,0,No Failure,Night,0.9687496940092467,2.9494075205025094,1,1
2025-01-03 08:00:00,57,L47236,L,298.8,309.1,1477,42.4,158,0,No Failure,Morning,0.6353970008207678,0.8087518710207969,1,4
2025-01-03 09:00:00,58,L47237,L,298.8,309.1,1513,40.3,160,0,No Failure,Morning,0.6783931449676581,3.009121154603292,1,2
2025-01-03 10:00:00,59,M14918,M,298.8,309.0,1661,29.5,162,0,No Failure,Morning,0.6180909155642152,0.9413147286113496,1,4
2025-01-03 11:00:00,60,L47239,L,298.8,309.1,1378,54.4,165,0,No Failure,Morning,0.7301321323053057,0.4695440958336488,1,2
2025-01-03 12:00:00,61,L47240,L,298.8,309.1,1393,52.6,167,0,No Failure,Morning,0.7554709158757928,0.21954154581452245,1,2
2025-01-03 13:00:00,62,M14921,M,298.8,309.0,1592,38.2,169,0,No Failure,Morning,0.7085396127095583,2.4870824079927423,1,4
2025-01-03 14:00:00,63,L47242,L,298.8,309.0,1829,22.9,172,0,No Failure,Morning,0.9314950036607718,0.06985611861222818,1,5
2025-01-03 15:00:00,64,M14923,M,298.9,309.0,1812,25.9,174,0,No Failure,Morning,0.7427013306774357,1.5852693099749873,1,2
2025-01-03 16:00:00,65,L47244,L,299.0,309.1,1523,38.6,177,0,No Failure,Evening,0.7123738038749523,0.2908361649407917,1,2
2025-01-03 17:00:00,66,L47245,L,299.0,309.1,1394,45.1,179,0,No Failure,Evening,0.8170784332632994,0.3896932374256369,1,4
2025-01-03 18:00:00,67,M14926,M,298.9,308.9,1679,28.7,181,0,No Failure,Evening,0.6563696899899051,1.8802496939695668,1,2
2025-01-03 19:00:00,68,H29481,H,298.8,308.9,1466,44.1,184,0,No Failure,Evening,0.9208787923016158,0.46996315371064634,1,2
2025-01-03 20:00:00,69,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure,Evening,0.6298202574719083,0.4452046205797068,1,4
2025-01-03 21:00:00,70,L47249,L,298.9,309.0,1410,65.7,191,1,Power Failure,Evening,0.9947547746402069,1.982804697174807,1,4
2025-01-03 22:00:00,71,M14930,M,298.9,309.0,1924,22.6,193,0,No Failure,Evening,0.908897907718663,2.447397293221623,1,1
2025-01-03 23:00:00,72,L47251,L,298.9,309.1,1452,45.5,196,0,No Failure,Evening,0.679486272613669,1.4946898032842333,1,5
