timestamp,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,shift,production_load,power_quality_index,maintenance_window,operator_experience,wear_load_index,temperature_gap,power_stress_score
2025-01-01 00:00:00,1,M14860,M,298.1,308.6,1551,42.8,0,0,No Failure,Night,0.749816047538945,0.9060461227700047,0,2,0.0,10.5,4.021225945443797
2025-01-01 01:00:00,2,L47181,L,298.2,308.7,1408,46.3,3,0,No Failure,Night,0.9802857225639665,0.8999368144347105,0,4,2.9408571676918998,10.5,4.632925491672903
2025-01-01 02:00:00,3,L47182,L,298.1,308.5,1498,49.4,5,0,No Failure,Night,0.892797576724562,0.876423086875429,0,5,4.46398788362281,10.399999999999977,6.104699508353806
2025-01-01 03:00:00,4,L47183,L,298.2,308.6,1433,39.5,7,0,No Failure,Night,0.8394633936788146,0.9410900005152232,0,5,5.876243755751703,10.400000000000034,2.3269449796486845
2025-01-01 04:00:00,5,L47184,L,298.2,308.7,1408,40.0,9,0,No Failure,Night,0.6624074561769746,0.9214936240762943,0,3,5.961667105592771,10.5,3.1402550369482274
2025-01-01 05:00:00,6,M14865,M,298.1,308.6,1425,41.9,11,0,No Failure,Night,0.662397808134481,0.9798551488486005,0,1,7.286375889479292,10.5,0.84406926324364
2025-01-01 06:00:00,7,L47186,L,298.1,308.6,1558,42.4,14,0,No Failure,Night,0.6232334448672797,0.8548164370723087,0,3,8.725268228141916,10.5,6.155783068134111
2025-01-01 07:00:00,8,L47187,L,298.1,308.6,1527,40.2,16,0,No Failure,Night,0.9464704583099741,0.9465801891332689,0,1,15.143527332959586,10.5,2.14747639684259
2025-01-01 08:00:00,9,M14868,M,298.3,308.7,1667,28.6,18,0,No Failure,Morning,0.8404460046972835,0.9644423317767341,0,3,15.128028084551103,10.399999999999977,1.0169493111854047
2025-01-01 09:00:00,10,M14869,M,298.5,309.0,1741,28.0,21,0,No Failure,Morning,0.8832290311184181,0.9639229853782461,0,3,18.54780965348678,10.5,1.0101564094091104
2025-01-01 10:00:00,11,H29424,H,298.4,308.9,1782,23.9,24,0,No Failure,Morning,0.608233797718321,0.9829110950643287,0,5,14.597611145239703,10.5,0.40842482796254354
2025-01-01 11:00:00,12,H29425,H,298.6,309.1,1423,44.3,29,0,No Failure,Morning,0.9879639408647978,0.9593550614244241,0,1,28.650954285079134,10.5,1.800570778898014
2025-01-01 12:00:00,13,M14872,M,298.6,309.1,1339,51.1,34,0,No Failure,Morning,0.9329770563201687,0.9891715092471545,0,2,31.721219914885737,10.5,0.5533358774704067
2025-01-01 13:00:00,14,M14873,M,298.6,309.2,1742,30.0,37,0,No Failure,Morning,0.6849356442713105,0.8998984899731337,0,2,25.342618838038486,10.599999999999966,3.0030453008059887
2025-01-01 14:00:00,15,L47194,L,298.6,309.2,2035,19.6,40,0,No Failure,Morning,0.6727299868828402,0.9254814125127314,0,3,26.90919947531361,10.599999999999966,1.4605643147504643
2025-01-01 15:00:00,16,L47195,L,298.6,309.2,1542,48.4,42,0,No Failure,Morning,0.6733618039413735,0.8521119494924336,0,3,28.281195765537685,10.599999999999966,7.157781644566212
2025-01-01 16:00:00,17,M14876,M,298.6,309.2,1311,46.6,44,0,No Failure,Evening,0.7216968971838151,0.8510436380954937,0,5,31.754663476087867,10.599999999999966,6.941366464749995
2025-01-01 17:00:00,18,M14877,M,298.7,309.2,1410,45.6,47,0,No Failure,Evening,0.8099025726528951,0.886018993067728,0,1,38.06542091468607,10.5,5.1975339161116025
2025-01-01 18:00:00,19,H29432,H,298.8,309.2,1306,54.5,50,0,No Failure,Evening,0.7727780074568463,0.8651210795708628,0,3,38.638900372842315,10.399999999999977,7.350901163387976
2025-01-01 19:00:00,20,M14879,M,298.9,309.3,1632,32.5,55,0,No Failure,Evening,0.7164916560792167,0.889031705190363,0,2,39.40704108435692,10.400000000000034,3.606469581313202
2025-01-01 20:00:00,21,H29434,H,298.9,309.3,1375,42.7,58,0,No Failure,Evening,0.8447411578889518,0.8765564941792596,0,1,48.9949871575592,10.400000000000034,5.271037698545614
2025-01-01 21:00:00,22,L47201,L,298.8,309.3,1450,44.8,63,0,No Failure,Evening,0.6557975442608167,0.8542780037257972,0,3,41.315245288431456,10.5,6.528345433084285
2025-01-01 22:00:00,23,M14882,M,298.9,309.3,1581,30.7,65,0,No Failure,Evening,0.7168578594140873,0.9863956219609074,0,1,46.59576086191567,10.400000000000034,0.41765440580014423
2025-01-01 23:00:00,24,L47203,L,299.0,309.4,1758,25.7,68,0,No Failure,Evening,0.7465447373174767,0.8512334697083337,0,5,50.765042137588416,10.399999999999977,3.823299828495824
2025-01-02 00:00:00,25,M14884,M,299.0,309.4,1561,37.3,70,0,No Failure,Night,0.7824279936868144,0.9604123216505628,0,2,54.769959558077005,10.399999999999977,1.4766204024340082
2025-01-02 01:00:00,26,L47205,L,299.0,309.5,1861,23.3,73,0,No Failure,Night,0.9140703845572055,0.8728221830379275,0,1,66.727138072676,10.5,2.96324313521629
