Machine_ID,Health_Score,Status,Failure_Probability,RUL,Recommendation
M101,61.7,Warning ,0.1,7 days,✓ Inspect tool wear
M102,63.5,Warning ,0.0,7 days,✓ Inspect tool wear
M103,57.2,Warning ,7.3,7 days,✓ Inspect tool wear
M104,63.2,Warning ,0.0,7 days,✓ Inspect tool wear
M105,62.9,Warning ,0.1,7 days,✓ Inspect tool wear
M106,61.7,Warning ,0.0,7 days,✓ Inspect tool wear
M107,66.6,Warning ,0.2,7 days,✓ Inspect tool wear
M108,63.7,Warning ,0.0,7 days,✓ Inspect tool wear
M109,62.2,Warning ,0.0,7 days,✓ Inspect tool wear
M110,72.8,Warning ,0.1,14 days,✓ Inspect tool wear
M111,62.1,Warning ,0.0,7 days,✓ Inspect tool wear
M112,62.4,Warning ,0.1,7 days,✓ Inspect tool wear
M113,63.0,Warning ,0.0,7 days,✓ Inspect tool wear
M114,61.9,Warning ,0.0,7 days,✓ Inspect tool wear
M115,59.2,Warning ,0.0,7 days,✓ Inspect tool wear
M116,65.0,Warning ,0.0,7 days,✓ Inspect tool wear
M117,62.8,Warning ,0.0,7 days,✓ Inspect tool wear
M118,15.5,Critical ,99.9,Critical,✓ Inspect tool wear
M119,60.6,Warning ,0.1,7 days,✓ Inspect tool wear
M120,61.6,Warning ,0.0,7 days,✓ Inspect tool wear
M121,62.0,Warning ,0.0,7 days,✓ Inspect tool wear
M122,10.9,Critical ,99.8,Critical,✓ Inspect tool wear
M123,62.0,Warning ,0.0,7 days,✓ Inspect tool wear
M124,63.9,Warning ,0.0,7 days,✓ Inspect tool wear
M125,63.2,Warning ,0.0,7 days,✓ Inspect tool wear
M126,61.5,Warning ,0.0,7 days,✓ Inspect tool wear
M127,62.1,Warning ,0.0,7 days,✓ Inspect tool wear
M128,66.1,Warning ,0.0,7 days,✓ Inspect tool wear
M129,61.4,Warning ,0.0,7 days,✓ Inspect tool wear
M130,61.7,Warning ,0.0,7 days,✓ Inspect tool wear
M131,62.4,Warning ,0.1,7 days,✓ Inspect tool wear
M132,63.9,Warning ,0.1,7 days,✓ Inspect tool wear
M133,62.6,Warning ,0.0,7 days,✓ Inspect tool wear
M134,61.2,Warning ,0.0,7 days,✓ Inspect tool wear
M135,60.7,Warning ,0.0,7 days,✓ Inspect tool wear
M136,60.0,Warning ,0.4,7 days,✓ Inspect tool wear
M137,67.3,Warning ,0.0,7 days,✓ Inspect tool wear
M138,62.1,Warning ,0.0,7 days,✓ Inspect tool wear
M139,60.9,Warning ,0.0,7 days,✓ Inspect tool wear
M140,64.1,Warning ,0.1,7 days,✓ Inspect tool wear
M141,17.4,Critical ,100.0,Critical,✓ Inspect tool wear
M142,63.2,Warning ,0.9,7 days,✓ Inspect tool wear
M143,62.7,Warning ,0.1,7 days,✓ Inspect tool wear
M144,10.5,Critical ,99.9,Critical,✓ Inspect tool wear
M145,63.5,Warning ,0.0,7 days,✓ Inspect tool wear
M146,79.7,Good ,0.0,14 days,✓ Continue monitoring normally
M147,60.9,Warning ,0.0,7 days,✓ Inspect tool wear
M148,61.3,Warning ,0.0,7 days,✓ Inspect tool wear
M149,71.8,Warning ,0.0,14 days,✓ Inspect tool wear
M150,81.0,Good ,0.0,14 days,✓ Continue monitoring normally
M151,60.6,Warning ,0.0,7 days,✓ Inspect tool wear
M152,57.9,Warning ,3.1,7 days,✓ Inspect tool wear
M153,63.0,Warning ,0.0,7 days,✓ Inspect tool wear
M154,63.3,Warning ,0.0,7 days,✓ Inspect tool wear
M155,62.9,Warning ,0.0,7 days,✓ Inspect tool wear
M156,61.2,Warning ,0.0,7 days,✓ Inspect tool wear
M157,63.9,Warning ,0.0,7 days,✓ Inspect tool wear
M158,61.3,Warning ,0.0,7 days,✓ Inspect tool wear
M159,62.9,Warning ,0.0,7 days,✓ Inspect tool wear
M160,80.2,Good ,0.0,14 days,✓ Continue monitoring normally
M161,71.8,Warning ,0.1,14 days,✓ Inspect tool wear
M162,63.4,Warning ,0.0,7 days,✓ Inspect tool wear
M163,60.3,Warning ,0.0,7 days,✓ Inspect tool wear
M164,60.8,Warning ,0.0,7 days,✓ Inspect tool wear
M165,8.5,Critical ,99.3,Critical,✓ Inspect tool wear
M166,12.4,Critical ,99.9,Critical,✓ Inspect tool wear
M167,63.4,Warning ,0.0,7 days,✓ Inspect tool wear
M168,64.1,Warning ,0.1,7 days,✓ Inspect tool wear
M169,64.2,Warning ,0.0,7 days,✓ Inspect tool wear
M170,60.3,Warning ,0.0,7 days,✓ Inspect tool wear
M171,61.5,Warning ,0.3,7 days,✓ Inspect tool wear
M172,61.1,Warning ,0.0,7 days,✓ Inspect tool wear
M173,65.1,Warning ,0.0,7 days,✓ Inspect tool wear
M174,64.1,Warning ,0.0,7 days,✓ Inspect tool wear
M175,64.8,Warning ,0.0,7 days,✓ Inspect tool wear
M176,63.6,Warning ,0.0,7 days,✓ Inspect tool wear
M177,62.5,Warning ,0.0,7 days,✓ Inspect tool wear
M178,61.2,Warning ,0.0,7 days,✓ Inspect tool wear
M179,59.1,Warning ,0.2,7 days,✓ Inspect tool wear
M180,63.5,Warning ,0.0,7 days,✓ Inspect tool wear
M181,56.5,Warning ,4.0,7 days,✓ Inspect tool wear
M182,63.0,Warning ,0.1,7 days,✓ Inspect tool wear
M183,61.2,Warning ,0.0,7 days,✓ Inspect tool wear
M184,60.2,Warning ,0.0,7 days,✓ Inspect tool wear
M185,63.7,Warning ,0.0,7 days,✓ Inspect tool wear
M186,77.1,Good ,0.0,14 days,✓ Continue monitoring normally
M187,61.0,Warning ,0.0,7 days,✓ Inspect tool wear
M188,65.2,Warning ,0.0,7 days,✓ Inspect tool wear
M189,58.6,Warning ,0.8,7 days,✓ Inspect tool wear
M190,62.1,Warning ,0.1,7 days,✓ Inspect tool wear
M191,58.6,Warning ,3.1,7 days,✓ Inspect tool wear
M192,62.5,Warning ,0.0,7 days,✓ Inspect tool wear
M193,62.9,Warning ,0.0,7 days,✓ Inspect tool wear
M194,60.4,Warning ,0.0,7 days,✓ Inspect tool wear
M195,64.0,Warning ,0.0,7 days,✓ Inspect tool wear
M196,62.2,Warning ,0.0,7 days,✓ Inspect tool wear
M197,66.0,Warning ,0.3,7 days,✓ Inspect tool wear
M198,15.6,Critical ,93.4,Critical,✓ Inspect tool wear
M199,63.0,Warning ,0.0,7 days,✓ Inspect tool wear
M200,60.7,Warning ,0.1,7 days,✓ Inspect tool wear
M201,61.8,Warning ,0.0,7 days,✓ Inspect tool wear
M202,57.4,Warning ,10.8,7 days,✓ Inspect tool wear
M203,64.5,Warning ,0.0,7 days,✓ Inspect tool wear
M204,73.8,Warning ,0.0,14 days,✓ Inspect tool wear
M205,63.0,Warning ,0.0,7 days,✓ Inspect tool wear
M206,64.0,Warning ,0.0,7 days,✓ Inspect tool wear
M207,71.4,Warning ,0.0,14 days,✓ Inspect tool wear
M208,64.7,Warning ,0.0,7 days,✓ Inspect tool wear
M209,64.4,Warning ,0.0,7 days,✓ Inspect tool wear
M210,65.4,Warning ,0.1,7 days,✓ Inspect tool wear
M211,74.8,Warning ,0.0,14 days,✓ Continue monitoring normally
M212,62.1,Warning ,0.0,7 days,✓ Inspect tool wear
M213,62.4,Warning ,0.0,7 days,✓ Inspect tool wear
M214,63.7,Warning ,0.0,7 days,✓ Inspect tool wear
M215,56.1,Warning ,5.0,7 days,✓ Inspect tool wear
M216,60.9,Warning ,0.1,7 days,✓ Inspect tool wear
M217,62.8,Warning ,0.0,7 days,✓ Inspect tool wear
M218,62.2,Warning ,0.0,7 days,✓ Inspect tool wear
M219,64.8,Warning ,0.0,7 days,✓ Inspect tool wear
M220,62.3,Warning ,0.0,7 days,✓ Inspect tool wear
M221,60.6,Warning ,0.0,7 days,✓ Inspect tool wear
M222,59.0,Warning ,0.0,7 days,✓ Inspect tool wear
M223,68.0,Warning ,0.1,7 days,✓ Inspect tool wear
M224,70.5,Warning ,0.1,14 days,✓ Inspect tool wear
M225,60.7,Warning ,0.0,7 days,✓ Inspect tool wear
M226,59.6,Warning ,0.0,7 days,✓ Inspect tool wear
M227,63.3,Warning ,0.0,7 days,✓ Inspect tool wear
M228,15.8,Critical ,99.9,Critical,✓ Inspect tool wear
M229,64.2,Warning ,0.1,7 days,✓ Inspect tool wear
M230,61.1,Warning ,0.0,7 days,✓ Inspect tool wear
M231,65.2,Warning ,0.0,7 days,✓ Inspect tool wear
M232,59.3,Warning ,0.5,7 days,✓ Inspect tool wear
M233,62.2,Warning ,0.0,7 days,✓ Inspect tool wear
M234,61.3,Warning ,0.0,7 days,✓ Inspect tool wear
M235,80.0,Good ,0.0,14 days,✓ Continue monitoring normally
M236,60.5,Warning ,0.0,7 days,✓ Inspect tool wear
M237,61.8,Warning ,0.0,7 days,✓ Inspect tool wear
M238,58.3,Warning ,0.7,7 days,✓ Inspect tool wear
M239,62.9,Warning ,0.0,7 days,✓ Inspect tool wear
M240,69.2,Warning ,0.0,7 days,✓ Inspect tool wear
M241,64.5,Warning ,0.0,7 days,✓ Inspect tool wear
M242,60.6,Warning ,0.1,7 days,✓ Inspect tool wear
M243,60.7,Warning ,0.2,7 days,✓ Inspect tool wear
M244,60.1,Warning ,0.0,7 days,✓ Inspect tool wear
M245,57.5,Warning ,3.3,7 days,✓ Inspect tool wear
M246,55.9,Warning ,4.8,7 days,✓ Inspect tool wear
M247,65.5,Warning ,0.0,7 days,✓ Inspect tool wear
M248,66.4,Warning ,0.0,7 days,✓ Inspect tool wear
M249,59.9,Warning ,0.1,7 days,✓ Inspect tool wear
M250,60.6,Warning ,0.1,7 days,✓ Inspect tool wear
M251,63.3,Warning ,0.1,7 days,✓ Inspect tool wear
M252,61.4,Warning ,0.0,7 days,✓ Inspect tool wear
M253,64.4,Warning ,0.0,7 days,✓ Inspect tool wear
M254,60.9,Warning ,0.1,7 days,✓ Inspect tool wear
M255,63.9,Warning ,1.1,7 days,✓ Inspect tool wear
M256,67.4,Warning ,0.0,7 days,✓ Inspect tool wear
M257,61.9,Warning ,0.0,7 days,✓ Inspect tool wear
M258,63.9,Warning ,0.0,7 days,✓ Inspect tool wear
M259,64.9,Warning ,0.1,7 days,✓ Inspect tool wear
M260,14.2,Critical ,99.4,Critical,✓ Inspect tool wear
M261,63.2,Warning ,0.0,7 days,✓ Inspect tool wear
M262,61.5,Warning ,0.0,7 days,✓ Inspect tool wear
M263,61.0,Warning ,0.0,7 days,✓ Inspect tool wear
M264,63.6,Warning ,0.0,7 days,✓ Inspect tool wear
M265,63.3,Warning ,0.0,7 days,✓ Inspect tool wear
M266,63.8,Warning ,0.0,7 days,✓ Inspect tool wear
M267,63.1,Warning ,0.0,7 days,✓ Inspect tool wear
M268,70.5,Warning ,0.0,14 days,✓ Inspect tool wear
M269,64.1,Warning ,0.0,7 days,✓ Inspect tool wear
M270,61.8,Warning ,0.1,7 days,✓ Inspect tool wear
M271,60.6,Warning ,0.1,7 days,✓ Inspect tool wear
M272,60.6,Warning ,0.1,7 days,✓ Inspect tool wear
M273,62.5,Warning ,0.0,7 days,✓ Inspect tool wear
M274,50.8,Warning ,15.3,7 days,✓ Inspect tool wear
M275,62.5,Warning ,0.0,7 days,✓ Inspect tool wear
M276,71.1,Warning ,0.0,14 days,✓ Inspect tool wear
M277,59.1,Warning ,0.0,7 days,✓ Inspect tool wear
M278,62.8,Warning ,0.0,7 days,✓ Inspect tool wear
M279,61.1,Warning ,0.0,7 days,✓ Inspect tool wear
M280,65.1,Warning ,0.0,7 days,✓ Inspect tool wear
M281,63.4,Warning ,0.0,7 days,✓ Inspect tool wear
M282,61.4,Warning ,0.0,7 days,✓ Inspect tool wear
M283,61.1,Warning ,0.0,7 days,✓ Inspect tool wear
M284,66.0,Warning ,0.0,7 days,✓ Inspect tool wear
M285,62.6,Warning ,0.0,7 days,✓ Inspect tool wear
M286,62.3,Warning ,0.1,7 days,✓ Inspect tool wear
M287,64.0,Warning ,0.0,7 days,✓ Inspect tool wear
M288,64.5,Warning ,0.1,7 days,✓ Inspect tool wear
M289,63.2,Warning ,0.1,7 days,✓ Inspect tool wear
M290,58.0,Warning ,1.7,7 days,✓ Inspect tool wear
M291,61.8,Warning ,0.0,7 days,✓ Inspect tool wear
M292,64.1,Warning ,0.0,7 days,✓ Inspect tool wear
M293,58.6,Warning ,0.9,7 days,✓ Inspect tool wear
M294,60.7,Warning ,0.0,7 days,✓ Inspect tool wear
M295,59.0,Warning ,0.0,7 days,✓ Inspect tool wear
M296,61.8,Warning ,0.0,7 days,✓ Inspect tool wear
M297,61.2,Warning ,0.0,7 days,✓ Inspect tool wear
M298,60.6,Warning ,0.1,7 days,✓ Inspect tool wear
M299,67.8,Warning ,0.1,7 days,✓ Inspect tool wear
M300,77.0,Good ,0.0,14 days,✓ Inspect tool wear
M301,64.3,Warning ,0.3,7 days,✓ Inspect tool wear
M302,64.3,Warning ,0.0,7 days,✓ Inspect tool wear
M303,60.3,Warning ,0.0,7 days,✓ Inspect tool wear
M304,71.5,Warning ,0.1,14 days,✓ Inspect tool wear
M305,59.7,Warning ,0.0,7 days,✓ Inspect tool wear
M306,59.6,Warning ,0.0,7 days,✓ Inspect tool wear
M307,59.8,Warning ,0.1,7 days,✓ Inspect tool wear
M308,72.5,Warning ,0.0,14 days,✓ Inspect tool wear
M309,63.0,Warning ,0.0,7 days,✓ Inspect tool wear
M310,60.3,Warning ,0.0,7 days,✓ Inspect tool wear
M311,59.8,Warning ,0.0,7 days,✓ Inspect tool wear
M312,62.4,Warning ,0.0,7 days,✓ Inspect tool wear
M313,62.1,Warning ,0.0,7 days,✓ Inspect tool wear
M314,62.5,Warning ,0.0,7 days,✓ Inspect tool wear
M315,63.8,Warning ,0.1,7 days,✓ Inspect tool wear
M316,70.7,Warning ,0.1,14 days,✓ Inspect tool wear
M317,64.1,Warning ,0.0,7 days,✓ Inspect tool wear
M318,60.2,Warning ,0.0,7 days,✓ Inspect tool wear
M319,64.7,Warning ,0.4,7 days,✓ Inspect tool wear
M320,66.5,Warning ,0.0,7 days,✓ Inspect tool wear
M321,60.2,Warning ,0.0,7 days,✓ Inspect tool wear
M322,61.3,Warning ,0.0,7 days,✓ Inspect tool wear
