threshold,tp,fp,tn,fn,precision,recall,f1
0.1,67,474,1458,1,0.12384473197781885,0.9852941176470589,0.2200328407224959
0.15000000000000002,67,343,1589,1,0.16341463414634147,0.9852941176470589,0.2803347280334728
0.20000000000000004,67,264,1668,1,0.20241691842900303,0.9852941176470589,0.3358395989974937
0.25000000000000006,67,195,1737,1,0.25572519083969464,0.9852941176470589,0.40606060606060607
0.30000000000000004,67,159,1773,1,0.29646017699115046,0.9852941176470589,0.4557823129251701
0.3500000000000001,67,127,1805,1,0.34536082474226804,0.9852941176470589,0.5114503816793893
0.40000000000000013,67,99,1833,1,0.4036144578313253,0.9852941176470589,0.5726495726495726
0.45000000000000007,67,83,1849,1,0.44666666666666666,0.9852941176470589,0.6146788990825688
0.5000000000000001,66,67,1865,2,0.49624060150375937,0.9705882352941176,0.6567164179104478
0.5500000000000002,66,48,1884,2,0.5789473684210527,0.9705882352941176,0.7252747252747253
0.6000000000000002,66,38,1894,2,0.6346153846153846,0.9705882352941176,0.7674418604651163
0.6500000000000001,66,32,1900,2,0.673469387755102,0.9705882352941176,0.7951807228915663
0.7000000000000002,65,23,1909,3,0.7386363636363636,0.9558823529411765,0.8333333333333334
0.7500000000000002,65,17,1915,3,0.7926829268292683,0.9558823529411765,0.8666666666666667
0.8000000000000002,65,6,1926,3,0.9154929577464789,0.9558823529411765,0.935251798561151
0.8500000000000002,64,5,1927,4,0.927536231884058,0.9411764705882353,0.9343065693430657
